Vehicle_Name,Name,Price($),InventoryType,Distance from 30341,Dealership
2022-Audi-e-tron,2022 Audi e-tron Premium Plus,"$79,815",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$44,315",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-TTS,2022 Audi TTS 2.0T,"$62,490",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-A4,2022 Audi A4 45 S line quattro Premium,"$50,375",New,15 mi. from 30341,Audi Marietta
2022-Audi-e-tron,2022 Audi e-tron Premium Plus,"$79,515",New,137 mi. from 30341,Harper Audi
2022-Audi-RS,2022 Audi RS Q8 4.0T quattro,"$131,510",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$56,755",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-TTS,2022 Audi TTS 2.0T,"$63,120",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-A3,2022 Audi A3 40 Premium,"$38,420",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$46,895",New,137 mi. from 30341,Harper Audi
2022-Audi-R8,2022 Audi R8 5.2 V10 performance,"$234,190",New,15 mi. from 30341,Audi Marietta
2022-Audi-A4,2022 Audi A4 40 Premium,"$44,490",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 S line Premium Plus,"$47,015",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-e-tron,2022 Audi e-tron Premium Plus,"$77,305",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$76,990",New,137 mi. from 30341,Harper Audi
2020-Audi-A3,2020 Audi A3 2.0T Premium Plus,"$40,215",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-SQ7,2022 Audi SQ7 4.0T Premium Plus,"$92,415",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$49,530",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-Q7,2022 Audi Q7 45 Premium,"$62,180",New,26 mi. from 30341,Audi South Atlanta
